City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Hithadhoo,MV,81.64,overcast clouds,-0.6,73.0833,Scoop Guest House
5,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
8,Kavieng,PG,83.52,broken clouds,-2.5744,150.7967,Nusa Island Retreat
12,Rikitea,PF,78.08,overcast clouds,-23.1203,-134.9692,People ThankYou
14,Atuona,PF,79.0,clear sky,-9.8,-139.0333,Villa Enata
24,Butaritari,KI,81.9,light rain,3.0707,172.7902,Isles Sunset Lodge
30,Tual,ID,83.71,broken clouds,-5.6667,132.75,Grand Vilia Hotel
32,Yulara,AU,78.64,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
34,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
41,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
45,Katherine,AU,86.32,overcast clouds,-14.4667,132.2667,Pine Tree Motel
50,Lorengau,PG,84.7,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
53,Biak,ID,84.31,overcast clouds,-0.9131,122.8766,Penginapan Kim
59,Vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
60,Maragogi,BR,78.49,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
67,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
75,Poum,NC,82.42,light rain,-20.2333,164.0167,Gîte kajeon
79,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
91,Labuan,MY,86.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
106,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
110,Kieta,PG,80.06,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
114,Gizo,SB,81.79,overcast clouds,-8.103,156.8419,Imagination Island
120,Kahului,US,79.86,few clouds,20.8947,-156.47,Maui Seaside Hotel
132,Alyangula,AU,85.87,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
135,Iranduba,BR,79.09,broken clouds,-3.2847,-60.1861,Evolução Ecolodge
136,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
149,San Andres,CO,80.62,few clouds,12.5847,-81.7006,Hotel Arena Blanca
154,Labuhan,ID,83.82,overcast clouds,-6.8844,112.2051,DoubleFAG
156,Cam Ranh,VN,80.56,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
157,Port-Gentil,GA,79.63,overcast clouds,-0.7193,8.7815,Fengshui Residence
160,Tayu,ID,86.18,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
166,Bengkulu,ID,79.25,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
168,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
192,Byron Bay,AU,78.75,light rain,-28.65,153.6167,Backpackers Inn
198,Payo,ID,80.47,broken clouds,-3.7508,103.6372,Mess keban agung
204,Saint-Philippe,RE,80.15,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
207,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
231,Imbituba,BR,78.69,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
240,Hervey Bay,AU,85.03,broken clouds,-25.2986,152.8535,Shelly Bay Resort
241,Isangel,VU,84.31,moderate rain,-19.55,169.2667,Tanna Lodge
249,Cap Malheureux,MU,81.09,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
252,Luwuk,ID,87.57,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
265,Saint-Joseph,RE,79.16,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
272,Vanimo,PG,85.17,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
281,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
293,Phangnga,TH,85.82,clear sky,8.4509,98.5298,Sunimit Mansion
300,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
323,Esperance,AU,80.44,clear sky,-33.8667,121.9,Hospitality Esperance
331,Kuala Terengganu,MY,82.35,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
333,Kavaratti,IN,79.2,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
335,Yeppoon,AU,85.78,overcast clouds,-23.1333,150.7333,Villa Mar Colina
338,Santiago Del Estero,AR,79.43,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
347,Kilindoni,TZ,80.53,overcast clouds,-7.9139,39.6668,Bustani B&B
350,Koumac,NC,85.24,overcast clouds,-20.5667,164.2833,Le Monitel
354,Alofi,NU,79.3,light rain,-19.0595,-169.9187,Taloa Heights
357,Dubbo,AU,78.93,clear sky,-32.25,148.6167,Quality Inn Dubbo International
359,Progreso,MX,81.1,clear sky,21.2833,-89.6667,Playa Linda Hotel
360,Cartagena,CO,80.22,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
361,Makakilo City,US,80.35,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
362,Acarau,BR,78.35,broken clouds,-2.8856,-40.12,castelo pizzaria
370,Chai Nat,TH,88.05,broken clouds,15.1167,100.1,Thai Boxing ROSEINN RESORT
371,Axim,GH,78.08,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
384,Salinopolis,BR,79.09,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
397,Kloulklubed,PW,86.5,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
406,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
415,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
424,Kununurra,AU,87.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
456,Kapit,MY,81.28,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
471,Dingle,PH,80.76,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
475,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
478,Bairiki,KI,86.0,light rain,1.3292,172.9752,Tarawa Boutique Hotel
487,Cayenne,GF,79.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
491,Kirakira,SB,81.3,overcast clouds,-10.4544,161.9205,SanBiz Lodge
492,Matara,LK,78.44,clear sky,5.9485,80.5353,Amaloh Boutique Resort
502,Champerico,GT,80.35,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
503,Morondava,MG,78.42,scattered clouds,-20.2833,44.2833,La Case Bambou
518,Mahajanga,MG,78.82,scattered clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
519,Porto Novo,BJ,82.22,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
528,Faanui,PF,81.28,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
539,Pangkalanbuun,ID,87.37,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
545,Santa Rosa,PH,87.12,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
552,Itaueira,BR,80.1,overcast clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
561,Cabedelo,BR,80.42,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
562,Nhulunbuy,AU,88.41,light rain,-12.2333,136.7667,East Arnhem Real Estate
566,Sabang,ID,82.74,overcast clouds,5.8933,95.3214,Hotel Citra
580,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
581,Ugoofaaru,MV,80.76,broken clouds,5.6667,73.0,Ungoofaaru Inn
607,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
610,Ocos,GT,80.31,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
617,Kupang,ID,81.5,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
619,Galesong,ID,84.22,broken clouds,-5.3166,119.3661,Sapriadi Appy
631,Champasak,LA,84.43,scattered clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
644,Bowen,AU,82.89,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
645,Villa Del Rosario,CO,79.18,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
660,Mount Isa,AU,83.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
664,Kuah,MY,81.99,clear sky,6.3265,99.8432,Azio Hotel
677,Baturaja,ID,82.51,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
678,Piacabucu,BR,78.31,broken clouds,-10.4056,-36.4344,Piaçabuçu News
